PUFC05_AGE,PUFC06_MSTAT,PUFC04_SEX,PUFC07_GRADE,PUFC08_CURSCH,PUFC38_PREVJOB,PUFC31_FLWRK,PUFC30_LOOKW,PUFC34_WYNOT
42,1,1,700,-1,-1,-1,-1,-1
55,3,2,700,-1,-1,-1,-1,-1
29,2,2,700,-1,2,-1,2,7
27,4,2,700,-1,-1,-1,-1,-1
23,2,2,700,2,-1,-1,-1,-1
45,2,2,700,-1,1,-1,2,7
66,3,1,700,-1,1,-1,2,6
26,1,2,700,-1,-1,-1,-1,-1
12,1,2,700,1,-1,-1,-1,-1
31,1,1,700,-1,-1,-1,-1,-1
18,1,1,700,1,2,-1,2,8
80,1,2,700,-1,1,-1,2,6
35,2,2,700,-1,-1,-1,-1,-1
14,1,1,700,1,-1,-1,-1,-1
43,2,1,700,-1,-1,-1,-1,-1
50,2,2,700,-1,-1,-1,-1,-1
33,2,2,700,-1,-1,-1,-1,-1
24,1,1,700,2,-1,-1,-1,-1
39,3,1,700,-1,-1,-1,-1,-1
9,1,2,700,1,-1,-1,-1,-1
26,2,2,700,-1,1,-1,2,7
53,2,1,700,-1,-1,-1,-1,-1
68,2,2,700,-1,-1,-1,-1,-1
21,1,2,700,2,-1,-1,-1,-1
47,3,2,700,-1,-1,-1,-1,-1
52,2,1,700,-1,-1,-1,-1,-1
26,1,1,700,-1,-1,-1,-1,-1
27,2,2,700,-1,1,-1,2,7
50,2,2,700,-1,-1,-1,-1,-1
28,1,1,700,-1,1,2,1,-1
30,1,1,700,-1,1,-1,2,3
42,2,2,700,-1,2,-1,2,7
11,1,1,700,1,-1,-1,-1,-1
37,2,1,700,-1,-1,-1,-1,-1
5,1,1,700,1,-1,-1,-1,-1
60,3,2,700,-1,1,-1,2,7
33,1,2,700,-1,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
22,1,1,700,2,-1,-1,-1,-1
25,1,1,700,-1,1,2,1,-1
23,2,2,700,2,2,-1,2,7
20,1,1,700,2,-1,-1,-1,-1
22,1,2,700,2,1,-1,2,7
16,1,2,700,1,2,-1,2,8
12,1,1,700,2,-1,-1,-1,-1
59,2,2,700,-1,-1,-1,-1,-1
52,2,1,700,-1,-1,-1,-1,-1
9,1,1,700,1,-1,-1,-1,-1
68,3,2,700,-1,1,-1,2,6
59,2,2,700,-1,-1,-1,-1,-1
46,2,2,700,-1,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
58,2,2,700,-1,1,-1,2,3
6,1,1,700,1,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
6,1,2,700,1,-1,-1,-1,-1
15,1,2,700,1,2,-1,2,8
35,2,2,700,-1,1,-1,2,7
13,1,2,700,1,-1,-1,-1,-1
13,1,1,700,1,-1,-1,-1,-1
50,2,2,700,-1,-1,-1,-1,-1
35,1,1,700,-1,-1,-1,-1,-1
48,2,1,700,-1,-1,-1,-1,-1
15,1,1,700,1,1,-1,2,8
43,2,1,700,-1,-1,-1,-1,-1
32,2,2,700,-1,1,-1,2,4
26,2,1,700,-1,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
14,1,1,700,1,-1,-1,-1,-1
45,4,2,700,-1,-1,-1,-1,-1
28,1,1,700,-1,-1,-1,-1,-1
34,2,2,700,-1,-1,-1,-1,-1
20,1,1,700,2,2,-1,2,8
10,1,1,700,1,-1,-1,-1,-1
36,2,2,700,-1,-1,-1,-1,-1
53,1,2,700,-1,2,-1,2,7
18,1,2,700,1,1,-1,2,8
7,1,2,700,1,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
30,1,2,700,-1,-1,-1,-1,-1
29,1,1,700,-1,-1,-1,-1,-1
23,1,2,700,2,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
59,2,1,700,-1,-1,-1,-1,-1
35,2,2,700,-1,-1,-1,-1,-1
26,2,1,700,-1,-1,-1,-1,-1
32,2,1,700,-1,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
68,2,2,700,-1,1,-1,2,7
13,1,1,700,1,-1,-1,-1,-1
39,2,2,700,-1,1,-1,2,7
17,1,1,700,2,-1,-1,-1,-1
17,1,1,700,1,-1,-1,-1,-1
22,2,2,700,2,1,-1,2,7
48,2,2,700,-1,1,-1,2,7
24,1,1,700,2,1,-1,2,7
16,1,2,700,1,2,-1,2,8
26,1,1,700,-1,-1,-1,-1,-1
42,3,1,700,-1,-1,-1,-1,-1
32,2,2,700,-1,-1,-1,-1,-1
61,3,2,700,-1,1,-1,2,7
24,1,2,700,2,2,-1,2,7
17,1,1,700,1,2,-1,2,8
29,2,1,700,-1,-1,-1,-1,-1
53,2,2,700,-1,-1,-1,-1,-1
37,2,1,700,-1,-1,-1,-1,-1
8,1,2,700,2,-1,-1,-1,-1
18,1,1,700,1,2,-1,2,8
19,1,1,700,1,2,-1,2,8
57,2,2,700,-1,1,-1,2,7
59,2,1,700,-1,1,-1,2,3
42,2,2,700,-1,1,-1,2,7
26,1,1,700,-1,-1,-1,-1,-1
39,2,2,700,-1,1,-1,2,7
31,1,1,700,-1,-1,-1,-1,-1
22,2,1,700,2,1,-1,2,7
23,1,1,700,2,-1,-1,-1,-1
37,2,2,700,-1,1,-1,2,7
25,2,1,700,-1,-1,-1,-1,-1
88,3,2,700,-1,1,-1,2,6
37,2,1,700,-1,-1,-1,-1,-1
37,2,1,700,-1,-1,-1,-1,-1
64,2,1,700,-1,-1,-1,-1,-1
10,1,1,700,1,-1,-1,-1,-1
5,1,1,700,1,-1,-1,-1,-1
31,2,1,700,-1,-1,-1,-1,-1
30,1,1,700,-1,-1,-1,-1,-1
24,1,1,700,2,-1,-1,-1,-1
44,2,2,700,-1,-1,-1,-1,-1
5,1,1,700,1,-1,-1,-1,-1
11,1,2,700,1,-1,-1,-1,-1
48,2,2,700,-1,-1,-1,-1,-1
50,2,1,700,-1,-1,-1,-1,-1
36,2,1,700,-1,-1,-1,-1,-1
34,2,1,700,-1,-1,-1,-1,-1
22,1,2,700,2,2,-1,2,6
8,1,2,700,1,-1,-1,-1,-1
55,2,1,700,-1,-1,-1,-1,-1
52,2,2,700,-1,-1,-1,-1,-1
67,2,1,700,-1,-1,-1,-1,-1
11,1,1,700,1,-1,-1,-1,-1
36,2,2,700,-1,1,-1,2,7
40,2,2,700,-1,2,-1,2,7
33,2,2,700,-1,-1,-1,-1,-1
10,1,1,700,1,-1,-1,-1,-1
23,2,1,700,2,-1,-1,-1,-1
23,1,1,700,2,-1,-1,-1,-1
25,1,1,700,-1,-1,-1,-1,-1
70,3,2,700,-1,1,-1,2,6
18,1,2,700,1,1,-1,2,8
58,2,1,700,-1,-1,-1,-1,-1
7,1,1,700,1,-1,-1,-1,-1
52,2,2,700,-1,-1,-1,-1,-1
50,2,1,700,-1,1,-1,2,7
17,1,2,700,1,2,-1,2,8
20,1,1,700,2,2,-1,2,8
19,1,2,700,2,1,-1,2,5
68,3,2,700,-1,-1,-1,-1,-1
54,2,1,700,-1,-1,-1,-1,-1
28,2,1,700,-1,-1,-1,-1,-1
